FID,Town_ID,Name,County,Pop_2010,Pop_2000,Pop_1990,Type,Lon,Lat,Elevation,Alt_Names,Max_2010,Max_2000,Max_1990,GeoID10,Shifted
163,164,Pray,Park,681,421,247,Census Designated Place,-110.6819992,45.38019943,5003, ,681,999,1025,3059725,0
164,165,Rapelje,Stillwater,80,101,69,2-mile diameter circle,-109.2559967,45.97249985,4072, ,89,117,194, ,1
165,166,Roberts,Carbon,361,275,217,Census Designated Place,-109.1669998,45.35910034,4577, ,361,352,296,3063400,1
166,167,Rosebud,Rosebud,111,89,44,Census Designated Place,-106.4469986,46.27500153,2474, ,111,151,177,3064375,0
167,168,Roy,Fergus,108,165,101,Census Designated Place,-108.9589996,47.33319855,3494, ,108,257,166,3064675,1
168,169,Rudyard,Hill,258,274,308,Census Designated Place,-110.5540009,48.55920029,3114, ,258,275,311,3064900,0
169,170,Saint Regis,Mineral,319,309,327,Census Designated Place,-115.1009979,47.29919815,2631, ,319,527,419,3065575,0
170,171,Sand Coulee,Cascade,191,135,112,Manually defined region,-111.1679993,47.39910126,3474,Part of the Sand Coulee CDP (3065950),266,422,317, ,0
171,172,Savage,Richland,320,295,267,Census Designated Place with Alternate Name,-104.3460007,47.45339966,1985,Same as Knife River CDP,320,382,362,3041087,0
172,173,Seeley Lake,Missoula,1659,1439,933,Census Designated Place,-113.4789963,47.1739006,4045, ,1659,1547,1026,3067150,1
173,174,Shepherd,Yellowstone,516,471,319,Census Designated Place,-108.3460007,45.94369888,3110, ,516,925,607,3067525,1
174,175,Simms,Cascade,354,371,292,Census Designated Place,-111.9280014,47.49119949,3570, ,354,530,433,3068575,0
175,176,Somers,Flathead,1109,872,734,Census Designated Place,-114.2249985,48.08050156,2920, ,1109,944,842,3069475,1
176,177,Sun River,Cascade,124,134,115,Census Designated Place,-111.7210007,47.53290176,3412, ,124,312,433,3072475,0
177,178,Swan Lake,Lake,113,117,57,Census Designated Place,-113.8460007,47.92959976,3097, ,113,141,137,3072850,1
178,179,Turner,Blaine,61,60,68,Census Designated Place,-108.4059982,48.84600067,3051, ,61,74,88,3075250,1
179,180,Ulm,Cascade,738,749,448,Census Designated Place,-111.5070038,47.43190002,3356, ,738,1051,1089,3075775,1
180,181,Vaughn,Cascade,658,697,643,Census Designated Place,-111.5459976,47.56010056,3363, ,658,843,980,3076675,0
181,182,Victor,Ravalli,745,526,358,Census Designated Place,-114.1490021,46.41699982,3412, ,745,854,608,3076900,0
182,183,West Glacier,Flathead,227,168,172,Census Designated Place,-113.9830017,48.49629974,3219, ,227,263,354,3079075,1
183,184,Whitewater,Phillips,64,91,42,Census Designated Place,-107.6279984,48.7602005,2326, ,64,125,131,3080200,1
184,185,Willow Creek,Gallatin,210,255,109,Census Designated Place,-111.6449966,45.82590103,4157, ,210,293,241,3080800,0
185,186,Wilsall,Park,178,231,156,Census Designated Place,-110.6600037,45.99440002,5052, ,178,296,313,3080875,0
186,187,Worden,Yellowstone,577,505,459,Census Designated Place,-108.1620026,45.96060181,2963, ,577,707,694,3081925,0
187,188,Clancy,Jefferson,1029,1048,840,Manually defined region,-111.9860001,46.46549988,4236,Part of the Clancy CDP (3015100),1582,1728,1571, ,0
188,189,Augusta,Lewis and Clark,309,294,305,Census Designated Place,-112.3939972,47.49140167,4075, ,309,332,389,3003025,1
189,190,Geyser,Judith Basin,87,67,46,Census Designated Place,-110.4940033,47.25889969,4186, ,87,150,154,3030550,0
190,191,Lincoln,Lewis and Clark,1013,1095,817,Census Designated Place,-112.6809998,46.95489883,4541, ,1013,1196,978,3043675,0
191,192,Warm Springs,Deer Lodge,465,239,395,2-mile diameter circle,-112.7910004,46.18000031,4829, ,473,265,436, ,1
192,193,Wyola,Big Horn,215,184,162,Census Designated Place,-107.3949966,45.13010025,3714, ,215,288,267,3082075,1
193,194,Acton,Yellowstone,67,12,39,2-mile diameter circle,-108.6809998,45.93050003,3802, ,140,194,99, ,0
194,195,Agency,Sanders,107,95,124,Census Designated Place with Alternate Name,-114.2949982,47.32939911,2530,Same as Old Agency CDP,107,169,182,3055260,1
195,196,Alder,Madison,103,116,52,Census Designated Place,-112.1070023,45.32379913,5121, ,103,182,216,3000850,0
196,197,Alhambra,Jefferson,74,73,58,Manually defined region,-111.987999,46.45130157,4268,Part of the Clancy CDP (3015100),485,595,597, ,0
197,198,Alpine,Carbon,1,3,4,2-mile diameter circle,-109.6409988,45.20130157,6243, ,14,15,91, ,0
198,199,Alta,Ravalli,12,12,0,2-mile diameter circle,-114.3000031,45.61880112,4984, ,20,33,21, ,0
199,200,Alzada,Carter,29,14,26,Census Designated Place,-104.4150009,45.02339935,3445, ,29,47,95,3001300,1
200,201,Amsterdam,Gallatin,180,201,192,Census Designated Place,-111.3199997,45.75799942,4442, ,180,499,602,3001525,0
201,202,Anceney,Gallatin,43,24,9,2-mile diameter circle,-111.3550034,45.64849854,4767, ,147,96,135, ,0
202,203,Andes,Richland,3,4,5,2-mile diameter circle,-104.5469971,47.95439911,2159, ,15,18,22, ,1
203,204,Angela,Rosebud,0,0,0,2-mile diameter circle,-106.2009964,46.72999954,2920, ,9,12,13, ,0
204,205,Antelope,Sheridan,51,49,53,Census Designated Place,-104.4570007,48.6896019,2041, ,51,75,82,3002050,1
205,206,Apex,Beaverhead,0,1,0,2-mile diameter circle,-112.7070007,45.38190079,5436, ,7,7,47, ,0
206,207,Apgar,Flathead,0,3,2,2-kilometer diameter circle,-113.9929962,48.52769852,3169, ,2,5,4, ,0
