Lon,Lat,Name,County,Pop_2010,Pop_2000,Pop_1990,Type
-112.9489975,45.79130173,Wise River,Beaverhead,46,49,24,2-mile diameter circle
-112.0690002,47.0060997,Wolf Creek,Lewis And Clark,32,38,18,2-mile diameter circle
-114.0500031,48.00159836,Woods Bay,Lake,661,731,536,Census Designated Place
-111.2679977,47.87919998,Woods Crossing,Chouteau,2,2,2,2-mile diameter circle
-114.1549988,46.31330109,Woodside,Ravalli,270,304,175,2-mile diameter circle
-113.3030014,47.10630035,Woodworth,Powell,15,22,7,2-mile diameter circle
-115.7089996,48.83300018,Yaak,Lincoln,248,168,109,Census Designated Place
-111.7519989,46.72159958,York,Lewis And Clark,83,79,40,2-mile diameter circle
-108.526001,47.9178009,Zortman,Phillips,69,38,15,Census Designated Place
-109.0299988,48.58440018,Zurich,Blaine,39,23,11,2-mile diameter circle
-106.5500031,48.40480042,Saint Marie,Valley,264,183,65,Census Designated Place
-111.2009964,47.50899887,Malmstrom AFB,Cascade,3472,4499,5915,Census Designated Place
-111.1849976,45.67110062,Four Corners,Gallatin,3146,1827,1497,Census Designated Place
-108.8730011,46.8302002,Tyler,Fergus,1,1,1,2-mile diameter circle
-114.1460037,48.3655014,Columbia Heights,Flathead,453,504,324,2-mile diameter circle
-106.5149994,45.32170105,Birney,Rosebud,14,20,10,2-mile diameter circle
-112.9280014,46.58430099,Goldcreek,Powell,21,12,7,2-mile diameter circle
-106.2710037,45.5943985,Ashland,Rosebud,824,865,858,Census Designated Place
-104.2750015,46.36790085,Baker,Fallon,1741,1693,1815,Incorporated Place
-104.9179993,48.14979935,Brockton,Roosevelt,255,245,365,Incorporated Place
-111.7170029,47.84820175,Dutton,Teton,316,386,390,Incorporated Place
-104.4929962,48.33560181,Froid,Roosevelt,185,194,194,Incorporated Place
-108.8040009,47.02550125,Grass Range,Fergus,110,141,155,Incorporated Place
-109.6790009,48.54919815,Havre,Hill,9310,9515,10191,Incorporated Place
-105.0709991,47.64379883,Richey,Dawson,177,185,256,Incorporated Place
-109.5419998,45.70849991,Reed Point,Stillwater,193,183,114,Census Designated Place
-110.7959976,47.5848999,Highwood,Chouteau,176,186,80,Census Designated Place
-112.1060028,46.6216011,Fort Harrison,Lewis and Clark,96,124,190,"2-mile diameter circle, Part of a CDP"
-113.1399994,48.58950043,Starr School,Glacier,252,242,249,Census Designated Place
-108.4140015,45.81259918,Lockwood,Yellowstone,6797,5698,4937,Census Designated Place
-115.5189972,48.33610153,Pioneer Junction,Lincoln,959,917,937,Census Designated Place
-113.862999,46.86130142,Piltzville,Missoula,395,65,22,Census Designated Place
-114.0790024,46.67580032,Carlton,Missoula,694,444,458,Census Designated Place
