OBJECTID,Campground,Type,Managed_by,Ramp_Type,Ramp_Type2,Num_sites,Fee,Lat,Long,Website,Transparency,SymbolID
363,FIRE ISLAND CAMPGROUND,campground,USFS,,,,N,48.29468088,-113.895301,http://www.recreation.gov,,
364,GRAVES CREEK CAMPGROUND,campground,USFS,,,,N,48.13016219,-113.809121,http://www.recreation.gov,,
365,HANDKERCHIEF LAKE CAMPGROUND,campground,USFS,,,,N,48.14159932,-113.8237782,http://www.recreation.gov,,
366,HOLLAND LAKE CAMPGROUND,campground,USFS,,,,Y,47.44641719,-113.6172646,http://www.recreation.gov,,
367,LAKEVIEW CAMPGROUND,campground,USFS,,,,N,48.21859702,-113.8040945,http://www.recreation.gov,,
368,LID CREEK CAMPGROUND,campground,USFS,,,,Y,48.28585876,-113.9082871,http://www.recreation.gov,,
369,LINDBERGH LAKE CAMPGROUND,campground,USFS,,,,N,47.40715283,-113.7210566,http://www.recreation.gov,,
370,LOST JOHNNY CAMPGROUND,campground,USFS,,,,Y,48.306212,-113.9684745,http://www.recreation.gov,,
371,LOST JOHNNY POINT CAMPGROUND,campground,USFS,,,,Y,48.31021453,-113.9626101,http://www.recreation.gov,,
372,MOOSE LAKE CAMPGROUND,campground,USFS,,,,N,48.6287,-114.3904,http://www.recreation.gov,,
373,MURRAY BAY CAMPGROUND,campground,USFS,,,,Y,48.26784945,-113.8130432,http://www.recreation.gov,,
374,PETER'S CREEK CAMPGROUND,campground,USFS,,,,N,48.05755894,-113.6437743,http://www.recreation.gov,,
375,RED MEADOW LAKE CAMPGROUND,campground,USFS,,,,N,48.7541,-114.561,http://www.recreation.gov,,
376,STILLWATER LAKE CAMPGROUND,campground,USFS,,,,N,48.60362498,-114.6555478,http://www.recreation.gov,,
377,SWAN LAKE CAMPGROUND,campground,USFS,,,,Y,47.93715098,-113.8461024,http://www.recreation.gov,,
378,SYLVIA LAKE CAMPGROUND,campground,USFS,,,,N,48.34479776,-114.8181569,http://www.recreation.gov,,
379,TALLY LAKE CAMPGROUND,campground,USFS,,,,Y,48.41345873,-114.5849398,http://www.recreation.gov,,
380,TUCHUCK CAMPGROUND,campground,USFS,,,,N,48.923,-114.5991,http://www.recreation.gov,,
381,ANDERSON CAMP,campground,USFS,,,,N,45.2689,-110.4691,http://www.recreation.gov,,
382,ASPEN,campground,USFS,,,,Y,45.456692,-110.196542,http://www.recreation.gov,,
383,BAKERS HOLE CAMPGROUND,campground,USFS,,,,Y,44.7063,-111.1008,http://www.recreation.gov,,
384,BATTLE RIDGE-C,campground,USFS,,,,N,45.8808311,-110.8801528,http://www.recreation.gov,,
385,BEAR CREEK,campground,USFS,,,,N,45.110037,-110.599646,http://www.recreation.gov,,
386,BEAVER CREEK CAMPGROUND,campground,USFS,,,,Y,44.85599,-111.37406,http://www.recreation.gov,,
387,BIG BEAVER,campground,USFS,,,,N,45.465351,-110.187169,http://www.recreation.gov,,
388,BIG CREEK CAMPGROUND,campground,USFS,,,,N,45.307,-110.92836,http://www.recreation.gov,,
