OBJECTID_1,OBJECTID,Campground,Type,Managed_by,Ramp_Type,Ramp_Type2,Num_sites,Fee,Lat,Long,Website,Transparen,SymbolID
34,34,Craig,boat launch/fishing access/campsite,MT FWP,concrete, ,11,Y,47.07255718,-111.9630362,http://fwp.mt.gov/fishing/siteDetail.html?id=282621,0, 
35,35,Dailey Lake,boat launch/fishing access/campsite,MT FWP,concrete, ,18,Y,45.26870494,-110.8173188,http://fwp.mt.gov/fishing/siteDetail.html?id=281410,0, 
36,36,Deadman's Basin,boat launch/fishing access/campsite,MT FWP,concrete, ,20,Y,46.32871644,-109.4320046,http://fwp.mt.gov/fishing/siteDetail.html?id=283279,0, 
37,37,Dearborn,boat launch/fishing access/campsite,MT FWP,hand launch only, ,1,Y,47.12584864,-111.9073533,http://fwp.mt.gov/fishing/siteDetail.html?id=282624,0, 
38,38,Eureka Reservoir,boat launch/fishing access/campsite,MT FWP,concrete,raft slide launch,8,Y,47.87772225,-112.3140706,http://fwp.mt.gov/fishing/siteDetail.html?id=282533,0, 
39,39,Fairweather,boat launch/fishing access/campsite,MT FWP,concrete, ,3,N,46.02772721,-111.4183128,http://fwp.mt.gov/fishing/siteDetail.html?id=281401,0, 
40,40,Fallon Bridge,boat launch/fishing access/campsite,MT FWP,concrete, ,1,N,46.85674642,-105.1136059,http://fwp.mt.gov/fishing/siteDetail.html?id=283791,0, 
41,41,Fishtrap Creek,boat launch/fishing access/campsite,MT FWP,concrete, ,20,Y,45.87065698,-113.2243272,http://fwp.mt.gov/fishing/siteDetail.html?id=281724,0, 
42,42,Forest Grove,boat launch/fishing access/campsite,MT FWP,concrete, ,4,Y,47.07620651,-114.7614071,http://fwp.mt.gov/fishing/siteDetail.html?id=280686,0, 
43,43,General Custer,boat launch/fishing access/campsite,MT FWP,concrete, ,1,N,45.92641688,-107.5785897,http://fwp.mt.gov/fishing/siteDetail.html?id=283177,0, 
44,44,Glasgow Base Pond,boat launch/fishing access/campsite,MT FWP,hand launch only, ,4,N,48.44867359,-106.5769532,http://fwp.mt.gov/fishing/siteDetail.html?id=283561,0, 
45,45,Grant Marsh,boat launch/fishing access/campsite,MT FWP,concrete, ,1,N,45.84424867,-107.5909732,http://fwp.mt.gov/fishing/siteDetail.html?id=6872214,0, 
46,46,Grey Bear,boat launch/fishing access/campsite,MT FWP,concrete, ,10,Y,45.78640482,-110.0663524,http://fwp.mt.gov/fishing/siteDetail.html?id=283182,0, 
47,47,Hannon Memorial,boat launch/fishing access/campsite,MT FWP,hand launch only, ,5,Y,45.97282322,-114.1401013,http://fwp.mt.gov/fishing/siteDetail.html?id=280636,0, 
48,48,Harpers Lake,boat launch/fishing access/campsite,MT FWP,hand launch only, ,14,Y,47.02159962,-113.3805638,http://fwp.mt.gov/fishing/siteDetail.html?id=280580,0, 
49,49,Harrison Lake,boat launch/fishing access/campsite,MT FWP,concrete, ,12,Y,45.69941899,-111.7079792,http://fwp.mt.gov/fishing/siteDetail.html?id=281364,0, 
50,50,Intake Dam,boat launch/fishing access/campsite,MT FWP,concrete, ,15,Y,47.2843204,-104.5193317,http://fwp.mt.gov/fishing/siteDetail.html?id=283784,0, 
51,51,Loch Leven,boat launch/fishing access/campsite,MT FWP,concrete, ,10,Y,45.4572139,-110.6242243,http://fwp.mt.gov/fishing/siteDetail.html?id=281775,0, 
52,52,Mallard's Landing,boat launch/fishing access/campsite,MT FWP,concrete, ,1,N,45.52148415,-107.7242734,http://fwp.mt.gov/fishing/siteDetail.html?id=283214,0, 
53,53,Mallard's Rest,boat launch/fishing access/campsite,MT FWP,concrete, ,8,Y,45.4848249,-110.6216256,http://fwp.mt.gov/fishing/siteDetail.html?id=281780,0, 
54,54,Manuel Lisa,boat launch/fishing access/campsite,MT FWP,concrete, ,5,N,46.14474693,-107.4660292,http://fwp.mt.gov/fishing/siteDetail.html?id=283219,0, 
55,55,Martinsdale Reservoir,boat launch/fishing access/campsite,MT FWP,concrete, ,11,Y,46.45061093,-110.282127,http://fwp.mt.gov/fishing/siteDetail.html?id=282542,0, 
56,56,Moraine,boat launch/fishing access/campsite,MT FWP,hand launch only, ,5,N,45.46295703,-109.7563527,http://fwp.mt.gov/fishing/siteDetail.html?id=283227,0, 
57,57,Mountain Palace,boat launch/fishing access/campsite,MT FWP,concrete, ,3,Y,47.1625535,-111.8230942,http://fwp.mt.gov/fishing/siteDetail.html?id=282633,0, 
58,58,Nilan Reservoir,boat launch/fishing access/campsite,MT FWP,concrete,raft slide launch,6,Y,47.47290879,-112.5197524,http://fwp.mt.gov/fishing/siteDetail.html?id=282583,0, 
59,59,Otter Creek,boat launch/fishing access/campsite,MT FWP,concrete, ,3,N,45.85508091,-109.9157379,http://fwp.mt.gov/fishing/siteDetail.html?id=283203,0, 
60,60,Pelican,boat launch/fishing access/campsite,MT FWP,concrete, ,3,N,45.75276452,-109.7676365,http://fwp.mt.gov/fishing/siteDetail.html?id=283230,0, 
61,61,Pelican Point,boat launch/fishing access/campsite,MT FWP,concrete, ,3,Y,47.20093675,-111.7794874,http://fwp.mt.gov/fishing/siteDetail.html?id=282528,0, 
62,62,Pishkun Reservoir,boat launch/fishing access/campsite,MT FWP,concrete,raft slide launch,8,Y,47.6818735,-112.4653272,http://fwp.mt.gov/fishing/siteDetail.html?id=282132,0, 
63,63,Powder River Depot,boat launch/fishing access/campsite,MT FWP,hand launch only, ,1,N,46.7427114,-105.4317097,http://fwp.mt.gov/fishing/siteDetail.html?id=283974,0, 
64,64,Prewett Creek,boat launch/fishing access/campsite,MT FWP,concrete, ,7,Y,47.17128575,-111.827038,http://fwp.mt.gov/fishing/siteDetail.html?id=282792,0, 
